age|mothers_education
37.0|High school graduate
24.0|High school graduate
3.0|8th grade or less
23.0|Some college credit, but no degree
18.0|High school graduate
21.0|High school graduate
16.0|Master's degree
13.0|8th grade or less
20.0|Some college credit, but no degree
15.0|8th grade or less
14.0|Some college credit, but no degree
15.0|High school graduate
19.0|9th-12th grade with no diploma
18.0|Bachelor's degree
18.0|Bachelor's degree
18.0|Some college credit, but no degree
32.0|Bachelor's degree
24.0|Some college credit, but no degree
25.0|9th-12th grade with no diploma
42.0|9th-12th grade with no diploma
32.0|High school graduate
19.0|High school graduate
12.0|High school graduate
17.0|High school graduate
13.0|High school graduate
21.0|High school graduate
17.0|Bachelor's degree
18.0|Some college credit, but no degree
20.0|9th-12th grade with no diploma
29.0|High school graduate
23.0|High school graduate
16.0|High school graduate
17.0|Some college credit, but no degree
19.0|High school graduate
19.0|Master's degree
16.0|High school graduate
37.0|Some college credit, but no degree
21.0|Master's degree
38.0|High school graduate
38.0|High school graduate
40.0|Bachelor's degree
21.0|Bachelor's degree
22.0|Some college credit, but no degree
47.0|High school graduate
24.0|Some college credit, but no degree
16.0|High school graduate
24.0|8th grade or less
20.0|9th-12th grade with no diploma
20.0|Bachelor's degree
14.0|9th-12th grade with no diploma
19.0|High school graduate
33.0|Master's degree
16.0|High school graduate
17.0|Bachelor's degree
21.0|High school graduate
39.0|High school graduate
36.0|High school graduate
19.0|Unknown
12.0|Some college credit, but no degree
36.0|High school graduate
17.0|Some college credit, but no degree
37.0|High school graduate
36.0|Some college credit, but no degree
20.0|Some college credit, but no degree
19.0|High school graduate
21.0|Some college credit, but no degree
24.0|Master's degree
17.0|Bachelor's degree
22.0|Some college credit, but no degree
20.0|Some college credit, but no degree
21.0|Bachelor's degree
13.0|High school graduate
17.0|High school graduate
17.0|High school graduate
12.0|Some college credit, but no degree
39.0|Associate's degree
25.0|Some college credit, but no degree
27.0|High school graduate
32.0|High school graduate
35.0|Some college credit, but no degree
32.0|High school graduate
38.0|High school graduate
19.0|Some college credit, but no degree
25.0|Some college credit, but no degree
13.0|High school graduate
27.0|Associate's degree
30.0|Some college credit, but no degree
33.0|High school graduate
21.0|8th grade or less
47.0|High school graduate
13.0|High school graduate
16.0|Some college credit, but no degree
23.0|High school graduate
18.0|Unknown
14.0|9th-12th grade with no diploma
34.0|9th-12th grade with no diploma
13.0|High school graduate
23.0|Doctorate or professional degree
19.0|8th grade or less
15.0|9th-12th grade with no diploma
15.0|9th-12th grade with no diploma
35.0|High school graduate
12.0|Bachelor's degree
18.0|Doctorate or professional degree
12.0|Master's degree
23.0|Unknown
21.0|Some college credit, but no degree
31.0|High school graduate
27.0|High school graduate
33.0|Some college credit, but no degree
25.0|Some college credit, but no degree
18.0|High school graduate
23.0|High school graduate
39.0|High school graduate
22.0|High school graduate
13.0|High school graduate
13.0|Unknown
23.0|Unknown
42.0|Associate's degree
12.0|High school graduate
21.0|Bachelor's degree
28.0|High school graduate
20.0|Unknown
19.0|High school graduate
13.0|Some college credit, but no degree
17.0|High school graduate
29.0|High school graduate
33.0|Unknown
19.0|Master's degree
17.0|High school graduate
22.0|High school graduate
14.0|Unknown
18.0|Associate's degree
21.0|High school graduate
20.0|High school graduate
33.0|9th-12th grade with no diploma
15.0|High school graduate
15.0|High school graduate
17.0|High school graduate
14.0|Unknown
13.0|Unknown
21.0|High school graduate
16.0|High school graduate
25.0|9th-12th grade with no diploma
15.0|High school graduate
26.0|High school graduate
13.0|Unknown
19.0|High school graduate
37.0|High school graduate
17.0|High school graduate
15.0|High school graduate
25.0|High school graduate
19.0|Some college credit, but no degree
37.0|High school graduate
16.0|Some college credit, but no degree
20.0|High school graduate
28.0|High school graduate
22.0|Doctorate or professional degree
21.0|High school graduate
14.0|High school graduate
33.0|Some college credit, but no degree
38.0|High school graduate
26.0|Some college credit, but no degree
35.0|High school graduate
16.0|Unknown
15.0|9th-12th grade with no diploma
17.0|9th-12th grade with no diploma
17.0|9th-12th grade with no diploma
17.0|9th-12th grade with no diploma
31.0|High school graduate
20.0|9th-12th grade with no diploma
19.0|Bachelor's degree
21.0|High school graduate
15.0|Unknown
28.0|High school graduate
14.0|High school graduate
15.0|High school graduate
20.0|Master's degree
18.0|Bachelor's degree
27.0|8th grade or less
22.0|Unknown
28.0|High school graduate
14.0|High school graduate
24.0|Unknown
19.0|Bachelor's degree
27.0|9th-12th grade with no diploma
26.0|High school graduate
18.0|High school graduate
27.0|High school graduate
13.0|Some college credit, but no degree
35.0|Unknown
17.0|9th-12th grade with no diploma
29.0|8th grade or less
23.0|Associate's degree
19.0|Associate's degree
39.0|Bachelor's degree
39.0|High school graduate
21.0|High school graduate
37.0|Bachelor's degree
16.0|High school graduate
26.0|High school graduate
16.0|High school graduate
27.0|Associate's degree
38.0|Bachelor's degree
31.0|Associate's degree
17.0|Some college credit, but no degree
13.0|Some college credit, but no degree
15.0|Doctorate or professional degree
14.0|Unknown
26.0|High school graduate
17.0|High school graduate
21.0|Bachelor's degree
36.0|High school graduate
22.0|Some college credit, but no degree
13.0|High school graduate
16.0|8th grade or less
19.0|Some college credit, but no degree
24.0|9th-12th grade with no diploma
15.0|Unknown
17.0|Doctorate or professional degree
15.0|Some college credit, but no degree
23.0|High school graduate
24.0|Associate's degree
18.0|Some college credit, but no degree
35.0|High school graduate
20.0|Some college credit, but no degree
24.0|8th grade or less
37.0|9th-12th grade with no diploma
37.0|Bachelor's degree
16.0|Unknown
39.0|9th-12th grade with no diploma
39.0|Some college credit, but no degree
33.0|High school graduate
24.0|High school graduate
21.0|High school graduate
14.0|High school graduate
12.0|Master's degree
18.0|High school graduate
18.0|Master's degree
24.0|Some college credit, but no degree
24.0|Some college credit, but no degree
20.0|High school graduate
36.0|Associate's degree
26.0|High school graduate
23.0|Some college credit, but no degree
25.0|High school graduate
15.0|Some college credit, but no degree
14.0|Unknown
20.0|High school graduate
16.0|Some college credit, but no degree
33.0|Master's degree
12.0|Unknown
23.0|High school graduate
24.0|High school graduate
18.0|Some college credit, but no degree
12.0|Some college credit, but no degree
14.0|High school graduate
23.0|High school graduate
17.0|Some college credit, but no degree
26.0|Bachelor's degree
29.0|High school graduate
19.0|High school graduate
18.0|Some college credit, but no degree
35.0|Bachelor's degree
18.0|High school graduate
29.0|Bachelor's degree
21.0|High school graduate
30.0|Some college credit, but no degree
21.0|Some college credit, but no degree
12.0|High school graduate
18.0|High school graduate
31.0|Doctorate or professional degree
23.0|Unknown
23.0|9th-12th grade with no diploma
17.0|Unknown
17.0|9th-12th grade with no diploma
18.0|Some college credit, but no degree
18.0|High school graduate
33.0|High school graduate
19.0|High school graduate
19.0|High school graduate
30.0|High school graduate
24.0|Some college credit, but no degree
27.0|Some college credit, but no degree
29.0|9th-12th grade with no diploma
36.0|9th-12th grade with no diploma
16.0|High school graduate
16.0|Some college credit, but no degree
22.0|Bachelor's degree
19.0|High school graduate
40.0|High school graduate
19.0|Bachelor's degree
22.0|Bachelor's degree
19.0|High school graduate
15.0|High school graduate
36.0|Master's degree
14.0|Unknown
16.0|Unknown
24.0|Bachelor's degree
37.0|High school graduate
17.0|9th-12th grade with no diploma
19.0|Some college credit, but no degree
7.0|9th-12th grade with no diploma
14.0|Some college credit, but no degree
16.0|High school graduate
17.0|Some college credit, but no degree
28.0|Unknown
19.0|Unknown
20.0|Unknown
37.0|Some college credit, but no degree
22.0|High school graduate
17.0|9th-12th grade with no diploma
13.0|9th-12th grade with no diploma
14.0|High school graduate
25.0|Unknown
13.0|Bachelor's degree
32.0|High school graduate
24.0|High school graduate
15.0|Bachelor's degree
19.0|9th-12th grade with no diploma
31.0|High school graduate
31.0|Some college credit, but no degree
20.0|Some college credit, but no degree
23.0|High school graduate
20.0|Unknown
20.0|Some college credit, but no degree
34.0|High school graduate
16.0|High school graduate
20.0|High school graduate
21.0|Some college credit, but no degree
17.0|9th-12th grade with no diploma
17.0|Associate's degree
18.0|Some college credit, but no degree
19.0|Master's degree
38.0|High school graduate
15.0|High school graduate
39.0|High school graduate
18.0|High school graduate
19.0|High school graduate
16.0|Bachelor's degree
17.0|High school graduate
27.0|9th-12th grade with no diploma
20.0|Some college credit, but no degree
21.0|Some college credit, but no degree
16.0|Some college credit, but no degree
35.0|High school graduate
18.0|Bachelor's degree
21.0|High school graduate
28.0|9th-12th grade with no diploma
27.0|High school graduate
37.0|High school graduate
18.0|9th-12th grade with no diploma
9.0|High school graduate
36.0|High school graduate
31.0|High school graduate
15.0|Unknown
21.0|Associate's degree
35.0|Some college credit, but no degree
30.0|High school graduate
19.0|Bachelor's degree
20.0|Some college credit, but no degree
26.0|Unknown
15.0|High school graduate
19.0|High school graduate
39.0|High school graduate
34.0|Unknown
13.0|Some college credit, but no degree
27.0|High school graduate
32.0|Unknown
38.0|Master's degree
39.0|High school graduate
13.0|Bachelor's degree
19.0|9th-12th grade with no diploma
33.0|High school graduate
13.0|High school graduate
19.0|High school graduate
35.0|Doctorate or professional degree
15.0|Some college credit, but no degree
15.0|Some college credit, but no degree
16.0|High school graduate
19.0|Some college credit, but no degree
13.0|8th grade or less
15.0|Bachelor's degree
19.0|Master's degree
12.0|Associate's degree
15.0|Associate's degree
13.0|High school graduate
22.0|Some college credit, but no degree
20.0|High school graduate
11.0|Unknown
19.0|Master's degree
20.0|9th-12th grade with no diploma
18.0|Some college credit, but no degree
19.0|High school graduate
24.0|8th grade or less
13.0|Bachelor's degree
15.0|High school graduate
24.0|Bachelor's degree
27.0|Some college credit, but no degree
16.0|Some college credit, but no degree
19.0|Associate's degree
32.0|High school graduate
32.0|Bachelor's degree
14.0|9th-12th grade with no diploma
28.0|Unknown
34.0|Unknown
22.0|Bachelor's degree
28.0|Unknown
17.0|Some college credit, but no degree
21.0|High school graduate
36.0|8th grade or less
38.0|High school graduate
17.0|High school graduate
13.0|High school graduate
27.0|8th grade or less
15.0|High school graduate
13.0|Master's degree
24.0|Bachelor's degree
19.0|Some college credit, but no degree
34.0|High school graduate
14.0|High school graduate
25.0|High school graduate
15.0|Some college credit, but no degree
19.0|Bachelor's degree
25.0|High school graduate
28.0|Associate's degree
20.0|Some college credit, but no degree
18.0|Some college credit, but no degree
32.0|Bachelor's degree
29.0|Master's degree
19.0|Bachelor's degree
25.0|High school graduate
30.0|Associate's degree
23.0|Some college credit, but no degree
16.0|Unknown
15.0|High school graduate
15.0|Bachelor's degree
23.0|9th-12th grade with no diploma
10.0|High school graduate
35.0|High school graduate
15.0|Some college credit, but no degree
20.0|Bachelor's degree
41.0|9th-12th grade with no diploma
38.0|Some college credit, but no degree
15.0|Bachelor's degree
36.0|High school graduate
15.0|High school graduate
17.0|Master's degree
17.0|High school graduate
35.0|High school graduate
18.0|Unknown
21.0|High school graduate
16.0|Unknown
16.0|High school graduate
18.0|Some college credit, but no degree
30.0|High school graduate
36.0|High school graduate
23.0|Some college credit, but no degree
18.0|Some college credit, but no degree
19.0|High school graduate
20.0|High school graduate
16.0|High school graduate
17.0|Associate's degree
19.0|High school graduate
40.0|Some college credit, but no degree
31.0|Unknown
21.0|Unknown
18.0|Some college credit, but no degree
30.0|Some college credit, but no degree
22.0|Some college credit, but no degree
18.0|High school graduate
35.0|Unknown
35.0|Unknown
26.0|Master's degree
21.0|Master's degree
15.0|Bachelor's degree
19.0|High school graduate
22.0|Associate's degree
15.0|High school graduate
18.0|Bachelor's degree
20.0|9th-12th grade with no diploma
35.0|High school graduate
38.0|Bachelor's degree
12.0|High school graduate
28.0|Bachelor's degree
13.0|Associate's degree
38.0|Bachelor's degree
19.0|Bachelor's degree
19.0|High school graduate
28.0|Master's degree
26.0|9th-12th grade with no diploma
16.0|Doctorate or professional degree
17.0|Doctorate or professional degree
20.0|Doctorate or professional degree
22.0|High school graduate
37.0|Unknown
20.0|Some college credit, but no degree
36.0|Some college credit, but no degree
38.0|High school graduate
15.0|Unknown
17.0|High school graduate
17.0|High school graduate
18.0|High school graduate
17.0|Bachelor's degree
22.0|Some college credit, but no degree
19.0|Bachelor's degree
25.0|High school graduate
20.0|Doctorate or professional degree
21.0|9th-12th grade with no diploma
40.0|Some college credit, but no degree
20.0|High school graduate
19.0|9th-12th grade with no diploma
28.0|Doctorate or professional degree
40.0|Bachelor's degree
27.0|9th-12th grade with no diploma
21.0|Some college credit, but no degree
38.0|9th-12th grade with no diploma
26.0|Some college credit, but no degree
26.0|Some college credit, but no degree
37.0|Bachelor's degree
20.0|Some college credit, but no degree
27.0|High school graduate
21.0|High school graduate
27.0|Some college credit, but no degree
19.0|Some college credit, but no degree
30.0|Unknown
24.0|Associate's degree
37.0|Some college credit, but no degree
33.0|Some college credit, but no degree
31.0|Some college credit, but no degree
23.0|High school graduate
22.0|Doctorate or professional degree
40.0|Some college credit, but no degree
40.0|High school graduate
21.0|High school graduate
22.0|Associate's degree
39.0|Some college credit, but no degree
21.0|9th-12th grade with no diploma
